filename,sha256,file_size_bytes,domain,suitability_status,sequence_identity,variant_identity,parent_sequence_identity,derivation_type,source_family,width,height,frame_rate_rational,frame_rate_float,is_hfr,pixel_format,bit_depth,duration_seconds,dynamic_range_classification,is_hdr,is_wcg,selected_vmaf_model,model_compatibility,model_selection_reason,license,license_source,access_restrictions,exclusion_reason,relative_path
OPL_0a39a10c-d1da-4e53-b32c-1ceab7d94cf0.xml,13c2fe8538379603223af9deea0527f13e0b90ac5420472f64052c7377699392,699,excluded,excluded_documentation,OPL_0a39a10c-d1da-4e53-b32c-1ceab7d94cf0,OPL_0a39a10c-d1da-4e53-b32c-1ceab7d94cf0,OPL_0a39a10c-d1da-4e53-b32c-1ceab7d94cf0,unknown_file,Local / Project-Supplied (Unverified),,,,,False,,8,,sdr_standard,False,False,,unsupported,Missing stream geometry or frame-rate metadata,Proprietary / Internal,Unverified Local Asset,Internal use only,Non-media documentation file,resource_videos/SolLevante_IMF_DolbyVision_PQP3D65_UHD_24fps/OPL_0a39a10c-d1da-4e53-b32c-1ceab7d94cf0.xml
PKL_51e5f3c5-44b3-4001-9c90-9a19087982d3.xml,e4b79de6db8af0de09926afc4d2744930f775f11b6586e3dc0deffdbff7fbcb8,2578,excluded,excluded_documentation,PKL_51e5f3c5-44b3-4001-9c90-9a19087982d3,PKL_51e5f3c5-44b3-4001-9c90-9a19087982d3,PKL_51e5f3c5-44b3-4001-9c90-9a19087982d3,unknown_file,Local / Project-Supplied (Unverified),,,,,False,,8,,sdr_standard,False,False,,unsupported,Missing stream geometry or frame-rate metadata,Proprietary / Internal,Unverified Local Asset,Internal use only,Non-media documentation file,resource_videos/SolLevante_IMF_DolbyVision_PQP3D65_UHD_24fps/PKL_51e5f3c5-44b3-4001-9c90-9a19087982d3.xml
VIDEO_e4da5fcd-5ffc-4713-bcdd-95ea579d790b.mxf,52a4cd1dc7c3080c634897be9191561ffed3b9447e9a878f30d355ed19381637,18521903620,Domain 3: HDR / WCG,not_applicable_hdr,sol_levante,sol_levante_uhd_24fps_p3_pq_dovi_mxf,sol_levante,imf_video_essence,Netflix Open Content / Sol Levante,3840,2160,24/1,24.0,False,rgb48le,12,263.083333,hdr_pq,True,False,,not_applicable,HDR content: outside SDR VMAF v1.0.16 model scope,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 (CC BY-NC-ND 4.0),Netflix Sol Levante License Agreement,"Non-commercial use, no derivatives allowed",High Dynamic Range / Wide Color Gamut asset; segregated from SDR calibration,resource_videos/SolLevante_IMF_DolbyVision_PQP3D65_UHD_24fps/VIDEO_e4da5fcd-5ffc-4713-bcdd-95ea579d790b.mxf
VOLINDEX.xml,e249925bdc27b5b31d791f27c258326cb66e54ea88c0ad5be72587a1d4f3ac33,140,excluded,excluded_documentation,VOLINDEX,VOLINDEX,VOLINDEX,unknown_file,Local / Project-Supplied (Unverified),,,,,False,,8,,sdr_standard,False,False,,unsupported,Missing stream geometry or frame-rate metadata,Proprietary / Internal,Unverified Local Asset,Internal use only,Non-media documentation file,resource_videos/SolLevante_IMF_DolbyVision_PQP3D65_UHD_24fps/VOLINDEX.xml
speed_bag_1080p.y4m,1a5258de75910f5392867b1b681d8f23c00a22361c98b3cc8ebfb896e341d253,2363907467,Domain 1: Primary SDR,eligible_sdr_primary,speed_bag,speed_bag_1080p,speed_bag,source_master_1080p,NTIA/ITS HDTV,1920,1080,30000/1001,29.97,False,yuv422p,8,19.019,sdr_standard,False,False,vmaf_v1.0.16_3d0h,compatible,Native 1080p SDR standard (<50fps) (29.97 fps) matches official vmaf_v1.0.16_3d0h model,Public Domain (US Gov) / Research Use Only,NTIA/ITS Public Domain Media Terms,Non-commercial research use only,,resource_videos/speed_bag_1080p.y4m
tractor_1080p25.y4m,13ff3baa08f11d407a36bc90894c6fcb4668dcc11d16b3924ca94d6330ac201f,2146180176,Domain 1: Primary SDR,eligible_sdr_primary,tractor,tractor_1080p25,tractor,source_master_1080p25,Xiph/DERF Classic,1920,1080,25/1,25.0,False,yuv420p,8,27.6,sdr_standard,False,False,vmaf_v1.0.16_3d0h,compatible,Native 1080p SDR standard (<50fps) (25.00 fps) matches official vmaf_v1.0.16_3d0h model,Creative Commons / Public Domain,Xiph.org Media Repository,Public research use,,resource_videos/tractor_1080p25.y4m
zebra_L10_G48 [PNG Image Sequence],N/A (Multi-file image sequence directory),521492863,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L10_G48,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,7.13,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L10_G48
zebra_L1_G10 [PNG Image Sequence],N/A (Multi-file image sequence directory),331153204,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L1_G10,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,6.0,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L1_G10
zebra_L1_G6 [PNG Image Sequence],N/A (Multi-file image sequence directory),419338124,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L1_G6,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,8.9,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L1_G6
zebra_L2_G12 [PNG Image Sequence],N/A (Multi-file image sequence directory),304054258,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L2_G12,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,5.9,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L2_G12
zebra_L2_G16 [PNG Image Sequence],N/A (Multi-file image sequence directory),515235463,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L2_G16,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,8.57,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L2_G16
zebra_L3_G19 [PNG Image Sequence],N/A (Multi-file image sequence directory),294487384,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L3_G19,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,4.97,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L3_G19
zebra_L3_G23 [PNG Image Sequence],N/A (Multi-file image sequence directory),435699211,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L3_G23,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,6.4,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L3_G23
